State	Trajectory	Frame
0	8	104422
0	8	111247
0	8	133087
0	8	110687
0	8	118876
0	11	13931
0	8	126395
0	8	109153
0	11	12389
0	17	15022
0	8	137398
0	11	20295
0	17	14010
0	17	6538
0	8	137138
0	17	9746
0	11	18625
0	11	15736
0	17	6739
0	11	19946
0	11	18523
0	17	10307
0	8	127417
0	11	19646
0	11	11219
0	8	131949
0	17	14814
0	8	131370
0	8	126443
0	8	120066
1	2	110714
1	1	90963
1	6	10699
1	2	65531
1	9	42117
1	1	30698
1	9	42377
1	9	22713
1	9	40006
1	2	64653
1	2	119182
1	2	69685
1	9	58786
1	9	40173
1	2	118777
1	2	92477
1	8	90683
1	8	90912
1	2	65912
1	2	68347
1	2	71518
1	9	55264
1	9	34830
1	1	89855
1	1	97730
1	8	99703
1	9	30176
1	9	32014
1	2	96647
1	9	42649
2	17	105116
2	17	101523
2	17	39272
2	17	33754
2	17	46854
2	17	39687
2	17	51595
2	17	53862
2	17	90393
2	17	52265
2	17	47315
2	17	39824
2	17	87834
2	17	88291
2	17	51180
2	17	51301
2	17	88893
2	17	105586
2	17	46965
2	17	87626
2	17	47563
2	17	101542
2	17	35723
2	17	105421
2	17	46629
2	17	51612
2	17	35721
2	17	87644
2	17	52166
2	17	105250
3	2	53938
3	13	98209
3	1	119643
3	6	78197
3	0	71524
3	0	37135
3	0	89695
3	15	70736
3	0	100237
3	15	50439
3	12	37763
3	5	66901
3	3	6766
3	14	84227
3	0	57986
3	2	52334
3	18	25891
3	14	58146
3	6	72099
3	5	33047
3	0	60102
3	4	18036
3	0	10839
3	15	53548
3	10	54315
3	1	74120
3	13	81460
3	1	19637
3	12	3066
3	0	44273
