State	Trajectory	Frame
0	10	24039
0	10	12896
0	11	18689
0	10	15116
0	11	20291
0	11	15055
0	10	14979
0	11	17235
0	11	19542
0	11	14995
0	11	15222
0	10	14929
0	11	16340
0	11	15392
0	11	16880
0	11	16635
0	10	21370
0	11	15944
0	11	18043
0	10	12893
0	11	15260
0	11	22668
0	10	12914
0	10	24696
0	11	16763
0	10	24757
0	11	19899
0	10	28141
0	11	20313
0	11	17952
1	15	6306
1	15	26200
1	15	6431
1	15	7282
1	15	26344
1	15	5772
1	15	7307
1	15	5860
1	15	26235
1	15	6407
1	15	6067
1	15	7559
1	15	26308
1	15	5771
1	15	7043
1	15	7574
1	15	7523
1	15	5980
1	15	7280
1	15	7534
1	15	28082
1	15	5972
1	15	7477
1	15	7040
1	15	27856
1	15	19091
1	15	6767
1	15	6149
1	15	6373
1	15	6216
2	11	68987
2	7	50977
2	11	2672
2	11	56953
2	14	36668
2	7	45797
2	11	57334
2	11	78071
2	11	78877
2	11	66591
2	7	44582
2	7	50968
2	11	79139
2	11	66198
2	11	66755
2	11	66985
2	11	62230
2	11	57777
2	11	628
2	10	12278
2	11	56495
2	11	56442
2	11	66155
2	11	57335
2	11	30202
2	11	29641
2	14	26140
2	11	67278
2	10	12351
2	11	62986
3	2	61169
3	2	60575
3	2	61350
3	2	64059
3	2	59623
3	2	60576
3	2	59259
3	2	60129
3	2	60511
3	2	59426
3	2	60795
3	2	63330
3	2	59420
3	2	62746
3	2	62776
3	2	63013
3	2	60951
3	2	59309
3	2	59718
3	2	59922
3	2	60423
3	2	60373
3	2	61151
3	2	60829
3	2	59368
3	2	61590
3	2	62885
3	2	61530
3	2	63415
3	2	62408
4	15	68218
4	15	69265
4	15	67784
4	15	69626
4	15	68384
4	15	74176
4	15	74523
4	15	74200
4	15	74500
4	15	69416
4	15	69629
4	15	67727
4	15	74370
4	15	74638
4	15	74329
4	15	70178
4	15	74510
4	15	70004
4	15	72394
4	15	74120
4	15	68155
4	15	74692
4	15	69324
4	15	70326
4	15	67977
4	15	74042
4	15	70248
4	15	69304
4	15	70390
4	15	70694
5	5	48768
5	16	6343
5	19	6343
5	19	4247
5	0	73461
5	5	126954
5	18	2955
5	4	28737
5	19	47500
5	17	56811
5	16	47500
5	1	94295
5	6	45692
5	16	23899
5	19	23899
5	0	97200
5	4	28265
5	5	109718
5	8	80551
5	4	25933
5	17	48943
5	3	37585
5	5	61590
5	2	154443
5	1	33584
5	0	114392
5	6	123594
5	0	96354
5	5	123347
5	19	100789
