Sample description: Zero Background (ZB) reduction performed following an available procedure of the BioSAXS beamline operated by ANSTO at the Australian Synchrotron.
Sample: Zero Background  c= 0 mg/ml  Code: 
Parent(s): /home/st/nov/fin/ins2/scale2/c0.dat
  3.637912e-02   6.738320e-03   1.746009e-05
  3.764914e-02   6.813620e-03   1.694411e-05
  3.891916e-02   6.899220e-03   1.635894e-05
  4.018918e-02   6.928580e-03   1.605155e-05
  4.145920e-02   6.954990e-03   1.569861e-05
  4.272922e-02   6.953360e-03   1.539496e-05
  4.399924e-02   6.971160e-03   1.535832e-05
  4.526927e-02   6.949030e-03   1.508660e-05
  4.653929e-02   6.936660e-03   1.489805e-05
  4.780931e-02   6.890750e-03   1.489808e-05
  4.907933e-02   6.862990e-03   1.476965e-05
  5.034935e-02   6.790640e-03   1.465175e-05
  5.161937e-02   6.736450e-03   1.459990e-05
  5.288939e-02   6.670070e-03   1.440135e-05
  5.415941e-02   6.620370e-03   1.429778e-05
  5.542943e-02   6.555630e-03   1.423097e-05
  5.669945e-02   6.486820e-03   1.405455e-05
  5.796948e-02   6.400150e-03   1.400911e-05
  5.923950e-02   6.326450e-03   1.392386e-05
  6.050952e-02   6.231330e-03   1.373706e-05
  6.177954e-02   6.169900e-03   1.372374e-05
  6.304956e-02   6.084320e-03   1.360440e-05
  6.431958e-02   6.004390e-03   1.328074e-05
  6.558960e-02   5.904880e-03   1.287830e-05
  6.685962e-02   5.828410e-03   1.254928e-05
  6.812964e-02   5.733390e-03   1.223128e-05
  6.939967e-02   5.639610e-03   1.205335e-05
  7.066969e-02   5.539380e-03   1.182074e-05
  7.193971e-02   5.452840e-03   1.162938e-05
  7.320973e-02   5.390720e-03   1.150553e-05
  7.447975e-02   5.300380e-03   1.129402e-05
  7.574977e-02   5.204820e-03   1.116055e-05
  7.701979e-02   5.107850e-03   1.104642e-05
  7.828981e-02   5.023960e-03   1.086656e-05
  7.955983e-02   4.916180e-03   1.077136e-05
  8.082985e-02   4.836460e-03   1.067051e-05
  8.209988e-02   4.750770e-03   1.050256e-05
  8.336990e-02   4.665350e-03   1.042733e-05
  8.463992e-02   4.574080e-03   1.031184e-05
  8.590994e-02   4.499820e-03   1.016798e-05
  8.717996e-02   4.401400e-03   1.010284e-05
  8.844998e-02   4.319970e-03   9.984922e-06
  8.972000e-02   4.245740e-03   9.869649e-06
  9.099002e-02   4.148740e-03   9.818801e-06
  9.226004e-02   4.075890e-03   9.706569e-06
  9.353006e-02   3.985740e-03   9.615378e-06
  9.480009e-02   3.906600e-03   9.555915e-06
  9.607011e-02   3.815510e-03   9.430087e-06
  9.734013e-02   3.743450e-03   9.359335e-06
  9.861015e-02   3.655960e-03   9.296991e-06
  9.988017e-02   3.564800e-03   9.179678e-06
  1.011502e-01   3.489060e-03   9.124793e-06
  1.024202e-01   3.423100e-03   9.066158e-06
  1.036902e-01   3.336170e-03   8.970956e-06
  1.049603e-01   3.259370e-03   8.938311e-06
  1.062303e-01   3.192850e-03   8.871072e-06
  1.075003e-01   3.123600e-03   8.783610e-06
  1.087703e-01   3.043430e-03   8.749559e-06
  1.100403e-01   2.984240e-03   8.663807e-06
  1.113104e-01   2.902920e-03   8.593113e-06
  1.125804e-01   2.846010e-03   8.564829e-06
  1.138504e-01   2.775560e-03   8.475060e-06
  1.151204e-01   2.700550e-03   8.425455e-06
  1.163904e-01   2.646450e-03   8.383211e-06
  1.176605e-01   2.579650e-03   8.306395e-06
  1.189305e-01   2.521190e-03   8.354769e-06
  1.202005e-01   2.443470e-03   8.461055e-06
  1.214705e-01   2.378350e-03   8.473228e-06
  1.227405e-01   2.321800e-03   8.504612e-06
  1.240106e-01   2.273830e-03   8.514011e-06
  1.252806e-01   2.186190e-03   8.498956e-06
  1.265506e-01   2.145950e-03   8.501919e-06
  1.278206e-01   2.083910e-03   8.461665e-06
  1.290907e-01   2.031010e-03   8.409656e-06
  1.303607e-01   1.978350e-03   8.370035e-06
  1.316307e-01   1.928150e-03   8.162491e-06
  1.329007e-01   1.895650e-03   8.036483e-06
  1.341707e-01   1.823070e-03   8.027403e-06
  1.354408e-01   1.778960e-03   8.091549e-06
  1.367108e-01   1.730330e-03   8.134815e-06
  1.379808e-01   1.689370e-03   8.155581e-06
  1.392508e-01   1.651770e-03   8.129572e-06
  1.405208e-01   1.608280e-03   8.147060e-06
  1.417909e-01   1.558220e-03   8.175241e-06
  1.430609e-01   1.502030e-03   8.165321e-06
  1.443309e-01   1.484130e-03   8.202104e-06
  1.456009e-01   1.433980e-03   8.221372e-06
  1.468709e-01   1.387250e-03   8.191376e-06
  1.481410e-01   1.347450e-03   8.209544e-06
  1.494110e-01   1.311300e-03   8.194487e-06
  1.506810e-01   1.277320e-03   8.175513e-06
  1.519510e-01   1.242570e-03   8.218404e-06
  1.532211e-01   1.198150e-03   8.200643e-06
  1.544911e-01   1.163980e-03   8.192835e-06
  1.557611e-01   1.139290e-03   8.152142e-06
  1.570311e-01   1.107410e-03   7.963324e-06
  1.583011e-01   1.079440e-03   7.867364e-06
  1.595712e-01   1.046590e-03   7.784374e-06
  1.608412e-01   1.008540e-03   7.692350e-06
  1.621112e-01   9.732500e-04   7.658630e-06
  1.633812e-01   9.517900e-04   7.599771e-06
  1.646512e-01   9.126500e-04   7.536830e-06
  1.659213e-01   9.047200e-04   7.526616e-06
  1.671913e-01   8.659700e-04   7.478607e-06
  1.684613e-01   8.440800e-04   7.419147e-06
  1.697313e-01   8.219500e-04   7.378334e-06
  1.710013e-01   7.897700e-04   7.302087e-06
  1.722714e-01   7.650400e-04   7.249146e-06
  1.735414e-01   7.442300e-04   7.218885e-06
  1.748114e-01   7.293800e-04   7.150278e-06
  1.760814e-01   7.101200e-04   7.121563e-06
  1.773515e-01   6.872900e-04   7.099542e-06
  1.786215e-01   6.577800e-04   7.050642e-06
  1.798915e-01   6.319400e-04   7.042916e-06
